user,original content + style with text readability,original content + style with text historical looks,original content + style without text readability,original content + style without text historical looks,content with dilation + style with text readability,content with dilation + style with text historical looks,content with dilation + style without text readability,content with dilation + style without text historical looks,content with binarization + style with text readability,content with binarization + style with text historical looks,content with binarization + style without text readability,content with binarization + style without text historical looks
1,2,4,2,3,1,4,2,3,3,2,2,2
2,4,4,2,2,5,4,3,3,4,2,1,1
3,1,3,1,3,4,4,1,3,1,4,1,4
4,2,1,1,1,2,2,1,2,2,2,1,2
5,3,4,3,3,4,2,2,2,3,2,1,1
6,1,1,1,2,1,1,1,4,1,1,1,1
7,4,4,2,2,4,4,1,1,4,2,1,1
8,3,2,2,3,2,2,4,2,4,3,1,4
9,1,5,1,1,3,5,1,1,3,2,1,1
10,2,4,2,5,1,4,3,4,3,5,1,4
11,1,5,2,4,2,5,2,4,2,5,1,4
12,5,5,5,3,5,1,4,3,4,4,2,2
13,1,3,1,3,4,4,1,3,1,4,1,4
14,2,1,2,2,1,2,1,1,3,2,1,1
15,1,3,2,3,2,4,2,3,1,2,1,2
16,1,2,1,1,2,3,1,2,2,1,1,1
17,1,3,1,3,4,4,1,3,1,4,1,4
18,1,2,1,2,3,3,1,2,2,2,1,1
19,1,1,1,1,1,2,1,1,1,1,1,1
20,2,3,2,2,3,2,2,2,2,2,2,2
21,1,3,1,1,1,3,1,2,1,2,2,2
22,1,1,1,2,2,2,2,3,3,3,2,2
23,2,2,1,2,2,1,2,2,1,3,2,1
24,1,3,2,3,1,4,2,4,2,4,1,3
25,3,4,1,1,3,4,3,4,3,2,2,2
26,1,2,2,2,1,4,1,2,2,3,1,2
27,1,2,1,2,1,2,3,1,1,1,1,1
28,1,2,1,4,2,4,1,3,2,2,1,3
29,1,1,1,1,1,1,1,1,1,1,1,1
30,4,4,2,3,2,2,3,3,2,3,3,2
31,5,5,4,3,4,4,3,4,4,4,5,5
32,1,3,1,3,2,4,1,3,1,1,1,1
33,1,2,1,1,1,4,1,3,2,2,1,3
34,2,4,3,2,2,3,4,3,2,4,1,3
35,1,1,2,1,1,1,1,1,2,2,1,1
36,2,2,2,3,1,3,1,1,2,4,1,1
37,1,2,1,1,1,4,1,3,2,2,1,3
38,1,2,1,1,1,4,1,3,2,2,1,3
39,2,2,3,3,3,4,3,3,4,4,2,3
40,5,5,5,5,5,5,5,5,5,5,5,5
41,1,3,3,2,1,1,3,2,4,1,2,2
42,1,1,1,1,1,1,1,2,2,1,1,1
43,3,2,3,2,2,4,4,2,3,2,4,4
44,2,1,2,2,1,3,2,3,3,1,1,1
45,5,3,3,1,5,3,1,3,5,1,5,5
46,1,1,1,1,1,1,1,2,2,1,1,1
47,1,1,1,1,1,1,1,1,2,1,2,2
48,1,4,1,3,1,4,1,3,1,2,1,3
49,1,5,1,2,1,3,1,3,1,2,1,2
50,3,4,2,3,2,4,3,5,4,3,3,4
